Vehicle_ID,Frame,Local_X,Local_Y,V_Vel,V_Acc,Lane_ID,Label
37,423.0,41.88399999999999,81.152,6.33,0.0,4.0,2
22,423.0,40.211,131.255,0.0,0.0,4.0,0
10,423.0,65.583,152.515,6.59,0.34,6.0,1
21,423.0,53.698,118.846,5.5,0.02,5.0,0
5,423.0,40.904,177.38400000000001,5.11,0.0,4.0,0
29,423.0,40.186,106.75200000000001,4.0,0.0,4.0,0
12,423.0,41.91,145.673,4.22,0.0,4.0,0
29,424.0,40.186,107.152,4.0,0.0,4.0,0
22,424.0,40.211,131.255,0.0,0.0,4.0,0
5,424.0,40.902,177.895,5.11,0.0,4.0,0
12,424.0,41.906000000000006,146.094,4.23,0.19,4.0,0
10,424.0,65.479,153.18,6.61,-0.17,6.0,1
37,424.0,41.867,81.785,6.34,0.0,4.0,2
21,424.0,53.698,119.397,5.5,0.0,5.0,0
29,425.0,40.186,107.552,4.0,0.0,4.0,0
12,425.0,41.902,146.517,4.26,0.36,4.0,0
22,425.0,40.211,131.255,0.0,0.0,4.0,0
5,425.0,40.9,178.40599999999998,5.11,0.0,4.0,0
10,425.0,65.373,153.84,6.59,-0.11,6.0,1
37,425.0,41.85,82.419,6.33,0.0,4.0,2
21,425.0,53.698,119.947,5.5,0.0,5.0,0
37,426.0,41.833999999999996,83.052,6.33,0.0,4.0,2
12,426.0,41.898999999999994,146.945,4.28,0.18,4.0,0
22,426.0,40.211,131.255,0.0,0.0,4.0,0
10,426.0,65.26899999999999,154.498,6.59,0.0,6.0,1
5,426.0,40.898,178.918,5.11,0.0,4.0,0
21,426.0,53.699,120.49700000000001,5.5,0.0,5.0,0
29,426.0,40.187,107.954,3.98,-0.35,4.0,0
21,427.0,53.7,121.04799999999999,5.5,-0.08,5.0,0
10,427.0,65.164,155.156,6.59,0.0,6.0,1
5,427.0,40.896,179.429,5.11,0.0,4.0,0
22,427.0,40.211,131.255,0.0,0.0,4.0,0
12,427.0,41.895,147.375,4.28,-0.16,4.0,0
29,427.0,40.187,108.352,3.93,-0.65,4.0,0
37,427.0,41.818000000000005,83.685,6.33,0.0,4.0,2
5,428.0,40.894,179.94099999999997,5.11,0.0,4.0,0
10,428.0,65.06,155.815,6.59,0.0,6.0,1
22,428.0,40.211,131.255,0.0,0.0,4.0,0
21,428.0,53.701,121.59899999999999,5.47,-0.37,5.0,0
37,428.0,41.8,84.319,6.33,0.0,4.0,2
12,428.0,41.891000000000005,147.804,4.26,-0.36,4.0,0
29,428.0,40.187,108.74,3.89,-0.31,4.0,0
22,429.0,40.211,131.255,0.0,0.0,4.0,0
12,429.0,41.887,148.227,4.23,-0.21,4.0,0
21,429.0,53.701,122.147,5.42,-0.75,5.0,0
10,429.0,64.954,156.47299999999998,6.59,0.0,6.0,1
37,429.0,41.784,84.95200000000001,6.33,0.0,4.0,2
5,429.0,40.891999999999996,180.452,5.11,0.0,4.0,0
29,429.0,40.187,109.124,3.89,0.31,4.0,0
37,430.0,41.768,85.583,6.35,0.33,4.0,2
10,430.0,64.85,157.132,6.59,0.0,6.0,1
29,430.0,40.187,109.512,3.93,0.65,4.0,0
21,430.0,53.702,122.686,5.33,-0.96,5.0,0
12,430.0,41.88399999999999,148.648,4.22,0.0,4.0,0
22,430.0,40.211,131.255,0.0,0.0,4.0,0
5,430.0,40.89,180.963,5.11,0.0,4.0,0
5,431.0,40.889,181.47400000000002,5.11,0.0,4.0,0
21,431.0,53.702,123.214,5.25,-0.79,5.0,0
29,431.0,40.187,109.91,3.98,0.35,4.0,0
37,431.0,41.751000000000005,86.22200000000001,6.37,0.17,4.0,2
12,431.0,41.88,149.069,4.22,0.0,4.0,0
22,431.0,40.211,131.255,0.0,0.0,4.0,0
10,431.0,64.745,157.791,6.59,0.0,6.0,1
21,432.0,53.703,123.73200000000001,5.19,-0.39,5.0,0
5,432.0,40.887,181.985,5.11,0.0,4.0,0
29,432.0,40.188,110.31200000000001,4.0,0.0,4.0,0
37,432.0,41.733999999999995,86.87799999999999,6.21,-2.68,4.0,2
12,432.0,41.876000000000005,149.491,4.22,0.0,4.0,0
10,432.0,64.641,158.45,6.59,0.0,6.0,1
22,432.0,40.211,131.255,0.0,0.0,4.0,0
29,433.0,40.188,110.712,4.0,0.0,4.0,0
10,433.0,64.535,159.109,6.59,0.0,6.0,1
37,433.0,41.717,87.52,5.65,-8.05,4.0,2
21,433.0,53.703,124.24700000000001,5.17,-0.06,5.0,0
5,433.0,40.885,182.497,5.11,0.0,4.0,0
22,433.0,40.211,131.255,0.0,0.0,4.0,0
12,433.0,41.873000000000005,149.91299999999998,4.22,0.0,4.0,0
5,434.0,40.883,183.00799999999998,5.11,0.0,4.0,0
21,434.0,53.70399999999999,124.76299999999999,5.16,0.04,5.0,0
12,434.0,41.869,150.334,4.22,0.0,4.0,0
29,434.0,40.189,111.11200000000001,4.0,0.0,4.0,0
22,434.0,40.211,131.255,0.0,0.0,4.0,0
10,434.0,64.431,159.768,6.59,0.0,6.0,1
37,434.0,41.693999999999996,88.056,4.6,-11.2,4.0,2
29,435.0,40.19,111.512,4.0,0.0,4.0,0
37,435.0,41.676,88.44,3.19,-11.2,4.0,2
10,435.0,64.32600000000001,160.42600000000002,6.59,0.0,6.0,1
22,435.0,40.211,131.255,0.0,0.0,4.0,0
12,435.0,41.865,150.756,4.22,0.0,4.0,0
21,435.0,53.70399999999999,125.28,5.17,0.0,5.0,0
5,435.0,40.88,183.52,5.11,0.0,4.0,0
21,436.0,53.705,125.79700000000001,5.17,0.0,5.0,0
29,436.0,40.19,111.912,4.0,0.0,4.0,0
12,436.0,41.861000000000004,151.178,4.22,0.0,4.0,0
22,436.0,40.211,131.255,0.0,0.0,4.0,0
10,436.0,64.222,161.085,6.59,0.0,6.0,1
5,436.0,40.878,184.03099999999998,5.11,0.0,4.0,0
37,436.0,41.677,88.696,1.8,-11.2,4.0,2
21,437.0,53.705,126.31299999999999,5.17,0.0,5.0,0
22,437.0,40.211,131.255,0.0,0.0,4.0,0
10,437.0,64.117,161.744,6.59,0.0,6.0,1
5,437.0,40.876,184.542,5.11,0.0,4.0,0
29,437.0,40.19,112.31200000000001,4.0,0.0,4.0,0
12,437.0,41.858000000000004,151.599,4.22,0.0,4.0,0
37,437.0,41.683,88.79799999999999,0.78,-7.77,4.0,2
21,438.0,53.706,126.83,5.17,0.0,5.0,0
22,438.0,40.211,131.255,0.0,0.0,4.0,0
37,438.0,41.685,88.805,0.22,-2.97,4.0,2
12,438.0,41.854,152.02100000000002,4.22,0.0,4.0,0
10,438.0,64.012,162.403,6.59,0.0,6.0,1
5,438.0,40.874,185.053,5.11,0.0,4.0,0
29,438.0,40.19,112.712,4.0,0.0,4.0,0
22,439.0,40.211,131.255,0.0,0.0,4.0,0
